DATE,품목명,총반입량,전일,전년
2024-07-24,배추,380,500,374
2024-07-23,배추,499,510,0
2024-07-22,배추,509,0,329
2024-07-20,배추,365,326,390
2024-07-19,배추,326,339,245
2024-07-18,배추,339,361,428
2024-07-17,배추,361,546,636
2024-07-16,배추,547,519,0
2024-07-15,배추,519,0,133
2024-07-13,배추,428,441,255
2024-07-12,배추,441,288,451
2024-07-11,배추,288,502,402
2024-07-10,배추,501,311,365
2024-07-09,배추,311,452,0
2024-07-08,배추,452,0,353
2024-07-06,배추,375,645,229
2024-07-05,배추,645,347,388
2024-07-04,배추,347,571,432
2024-07-03,배추,571,464,519
2024-07-02,배추,464,393,0
2024-07-01,배추,393,0,264
2024-06-29,배추,389,378,477
2024-06-28,배추,377,465,509
2024-06-27,배추,466,491,280
2024-06-26,배추,491,404,418
2024-06-25,배추,404,415,0
2024-06-24,배추,416,0,245
2024-06-22,배추,318,337,281
2024-06-21,배추,338,524,277
2024-06-20,배추,524,454,366
2024-06-19,배추,454,514,369
2024-06-18,배추,513,381,0
2024-06-17,배추,382,0,307
2024-06-15,배추,428,310,248
2024-06-14,배추,310,345,313
2024-06-13,배추,346,329,389
2024-06-12,배추,329,536,329
2024-06-11,배추,536,363,0
2024-06-10,배추,364,0,214
2024-06-08,배추,275,310,295
2024-06-07,배추,310,319,335
2024-06-06,배추,318,410,312
2024-06-05,배추,408,492,326
2024-06-04,배추,492,410,0
2024-06-03,배추,410,0,391
2024-06-01,배추,313,451,290
2024-05-31,배추,452,339,256
2024-05-30,배추,339,307,357
2024-05-29,배추,307,343,277
2024-05-28,배추,343,473,0
2024-05-27,배추,471,0,209
2024-05-25,배추,338,334,448
2024-05-24,배추,334,422,394
2024-05-23,배추,422,390,397
2024-05-22,배추,390,491,519
2024-05-21,배추,492,662,0
2024-05-20,배추,662,0,240
2024-05-18,배추,284,433,273
2024-05-17,배추,433,411,352
2024-05-16,배추,412,446,247
2024-05-15,배추,446,456,239
2024-05-14,배추,456,457,0
2024-05-13,배추,457,0,205
2024-05-11,배추,210,335,357
2024-05-10,배추,335,408,358
2024-05-09,배추,408,342,427
2024-05-08,배추,342,438,517
2024-05-07,배추,438,429,0
2024-05-06,배추,429,0,127
2024-05-04,배추,356,403,335
2024-05-03,배추,404,323,262
2024-05-02,배추,324,305,254
2024-05-01,배추,305,398,296
2024-04-30,배추,399,412,0
2024-04-29,배추,412,0,239
2024-04-27,배추,313,376,240
2024-04-26,배추,376,426,223
2024-04-25,배추,426,379,235
2024-04-24,배추,379,374,296
2024-04-23,배추,374,336,0
2024-04-22,배추,336,0,215
2024-04-20,배추,297,377,297
2024-04-19,배추,377,310,330
2024-04-18,배추,310,368,306
2024-04-17,배추,368,402,341
2024-04-16,배추,402,416,0
2024-04-15,배추,416,0,117
2024-04-13,배추,250,334,256
2024-04-12,배추,335,357,331
2024-04-11,배추,357,366,264
2024-04-10,배추,366,354,434
2024-04-09,배추,354,321,0
2024-04-08,배추,321,0,255
2024-04-06,배추,276,357,214
2024-04-05,배추,356,360,301
2024-04-04,배추,359,359,178
2024-04-03,배추,359,382,166
2024-04-02,배추,382,418,0
2024-04-01,배추,418,0,150
2024-03-30,배추,238,292,347
2024-03-29,배추,293,355,319
2024-03-28,배추,355,377,299
2024-03-27,배추,376,389,338
2024-03-26,배추,389,433,0
2024-03-25,배추,434,0,176
2024-03-23,배추,297,385,324
2024-03-22,배추,385,395,276
2024-03-21,배추,395,361,252
2024-03-20,배추,362,388,370
2024-03-19,배추,388,344,0
2024-03-18,배추,345,0,151
2024-03-16,배추,274,283,325
2024-03-15,배추,283,384,307
2024-03-14,배추,384,264,345
2024-03-13,배추,264,321,303
2024-03-12,배추,320,437,0
2024-03-11,배추,438,0,108
2024-03-09,배추,270,366,432
2024-03-08,배추,367,241,337
2024-03-07,배추,240,322,220
2024-03-06,배추,323,350,346
2024-03-05,배추,350,385,0
2024-03-04,배추,386,0,236
2024-03-01,배추,302,362,280
2024-02-29,배추,364,349,0
2024-02-28,배추,349,320,310
2024-02-27,배추,320,290,308
2024-02-26,배추,290,0,0
2024-02-24,배추,185,218,279
2024-02-23,배추,218,274,255
2024-02-22,배추,275,261,234
2024-02-21,배추,261,317,357
2024-02-20,배추,317,381,303
2024-02-19,배추,381,0,0
2024-02-17,배추,177,329,309
2024-02-16,배추,328,267,372
2024-02-15,배추,267,224,188
2024-02-14,배추,223,176,176
2024-02-13,배추,177,0,417
2024-02-09,배추,87,355,293
2024-02-08,배추,355,368,290
2024-02-07,배추,368,346,206
2024-02-06,배추,346,443,268
2024-02-05,배추,443,0,0
2024-02-03,배추,396,410,341
2024-02-02,배추,411,449,330
2024-02-01,배추,450,416,338
2024-01-31,배추,416,332,250
2024-01-30,배추,333,417,212
2024-01-29,배추,417,0,0
2024-01-27,배추,216,263,189
2024-01-26,배추,262,158,43
2024-01-25,배추,158,235,137
2024-01-24,배추,234,422,0
2024-01-23,배추,422,396,0
2024-01-22,배추,396,0,0
2024-01-20,배추,208,208,198
2024-01-19,배추,208,231,309
2024-01-18,배추,231,243,281
2024-01-17,배추,243,266,389
2024-01-16,배추,266,363,382
2024-01-15,배추,363,0,0
2024-01-13,배추,244,244,354
2024-01-12,배추,244,383,294
2024-01-11,배추,382,248,242
2024-01-10,배추,248,224,195
2024-01-09,배추,224,221,427
2024-01-08,배추,221,0,0
2024-01-06,배추,317,381,304
2024-01-05,배추,381,404,282
2024-01-04,배추,404,414,272
2024-01-03,배추,415,0,342
2023-12-30,배추,390,300,403
2023-12-29,배추,301,435,361
2023-12-28,배추,435,266,298
2023-12-27,배추,266,270,333
2023-12-26,배추,269,345,189
2023-12-25,배추,346,0,0
2023-12-23,배추,124,288,198
2023-12-22,배추,288,379,313
2023-12-21,배추,378,128,281
2023-12-20,배추,128,269,318
2023-12-19,배추,269,354,135
2023-12-18,배추,354,0,0
2023-12-16,배추,102,329,170
2023-12-15,배추,329,215,191
2023-12-14,배추,214,345,395
2023-12-13,배추,345,280,378
2023-12-12,배추,279,278,433
2023-12-11,배추,278,0,0
2023-12-09,배추,446,538,403
2023-12-08,배추,538,548,365
2023-12-07,배추,548,539,343
2023-12-06,배추,539,668,434
2023-12-05,배추,668,846,729
2023-12-04,배추,846,0,0
2023-12-02,배추,34,757,349
2023-12-01,배추,756,737,406
2023-11-30,배추,737,560,457
2023-11-29,배추,560,568,637
2023-11-28,배추,569,750,1015
2023-11-27,배추,751,0,0
2023-11-25,배추,1171,1421,1010
2023-11-24,배추,1420,1317,713
2023-11-23,배추,1316,1027,912
2023-11-22,배추,1027,1205,695
2023-11-21,배추,1206,1359,1057
2023-11-20,배추,1358,0,0
2023-11-18,배추,1002,972,1075
2023-11-17,배추,972,940,1012
2023-11-16,배추,939,845,955
2023-11-15,배추,844,897,879
2023-11-14,배추,898,1070,1064
2023-11-13,배추,1070,0,0
2023-11-11,배추,983,1054,1052
2023-11-10,배추,1054,983,854
2023-11-09,배추,982,1044,822
2023-11-08,배추,1044,521,945
2023-11-07,배추,520,750,857
2023-11-06,배추,749,0,0
2023-11-03,배추,681,375,545
2023-11-02,배추,375,530,699
2023-11-01,배추,530,513,757
2023-10-31,배추,512,528,644
2023-10-30,배추,528,0,0
2023-10-28,배추,568,550,474
2023-10-27,배추,550,582,502
2023-10-26,배추,583,596,545
2023-10-25,배추,595,622,546
2023-10-24,배추,623,534,797
2023-10-23,배추,534,0,0
2023-10-21,배추,433,360,617
2023-10-20,배추,360,495,578
2023-10-19,배추,495,569,550
