날짜,품목,품종,등급,거래단위,최저가,최고가,평균가,전일대비 등락,전일 평균대비,전7일 평균대비,전년 동월동일 평균대비
2025.05.12,배추얼갈이,배추얼갈이,보통,4kg상자,2600,3100,2911,775,"2,136(136.3%)","2,840(102.5%)","3,242(89.8%)"
2025.05.12,배추얼갈이,배추얼갈이,하,4kg상자,1400,2600,2251,818,"1,433(157.1%)","2,042(110.2%)","2,324(96.9%)"
2025.05.12,배추얼갈이,배추얼갈이,상,8kg상자,5450,6400,5912,967,"4,945(119.6%)","6,800(86.9%)","6,374(92.8%)"
2025.05.12,배추얼갈이,배추얼갈이,보통,8kg상자,4500,5450,4834,913,"3,921(123.3%)","5,249(92.1%)","4,746(101.9%)"
2025.05.12,배추얼갈이,배추얼갈이,하,8kg상자,3000,4500,4157,"1,198","2,959(140.5%)","4,283(97.1%)","3,757(110.6%)"
2025.05.12,알배기배추,알배기배추,특,8kg상자,22700,23600,23296,"-1,630","24,926(93.5%)","25,068(92.9%)","21,296(109.4%)"
2025.05.12,알배기배추,알배기배추,상,8kg상자,16600,22700,18815,"-1,389","20,204(93.1%)","21,370(88%)","19,711(95.5%)"
2025.05.12,알배기배추,알배기배추,보통,8kg상자,11800,16600,14175,"-1,367","15,542(91.2%)","16,596(85.4%)","17,539(80.8%)"
2025.05.12,알배기배추,알배기배추,하,8kg상자,2000,11800,8041,586,"7,455(107.9%)","10,373(77.5%)","9,469(84.9%)"
2025.05.12,양배추,양배추,특,8Kg그물망,11100,12500,11798,"-3,905","15,703(75.1%)","16,046(73.5%)","20,016(58.9%)"
2025.05.12,양배추,양배추,상,8Kg그물망,8800,11100,9355,"-3,302","12,657(73.9%)","13,155(71.1%)","15,501(60.4%)"
2025.05.12,양배추,양배추,보통,8Kg그물망,7400,8800,8099,"-1,706","9,805(82.6%)","10,305(78.6%)","12,128(66.8%)"
2025.05.12,양배추,양배추,하,8Kg그물망,3600,7400,5893,179,"5,714(103.1%)","6,408(92%)","9,515(61.9%)"
2025.05.12,양배추,양배추 수입,상,15kg상자,4500,11000,9492,-641,"10,133(93.7%)","9,950(95.4%)","15,259(62.2%)"
2025.05.12,시금치,시금치,특,4kg상자,14500,16800,15083,"1,668","13,415(112.4%)","12,748(118.3%)","12,111(124.5%)"
2025.05.12,시금치,시금치,상,4kg상자,10800,14500,12366,426,"11,940(103.6%)","10,856(113.9%)","10,326(119.8%)"
2025.05.12,시금치,시금치,보통,4kg상자,8400,10800,9344,162,"9,182(101.8%)","8,850(105.6%)","8,857(105.5%)"
2025.05.12,시금치,시금치,하,4kg상자,2500,8400,7596,258,"7,338(103.5%)","6,994(108.6%)","6,570(115.6%)"
2025.05.12,시금치,시금치,특,500g단,1650,1650,1650,50,"1,600(103.1%)","1,583(104.2%)","1,400(117.9%)"
2025.05.12,시금치,시금치,상,500g단,1300,1650,1436,-144,"1,580(90.9%)","1,502(95.6%)","1,245(115.3%)"
2025.05.12,시금치,시금치,보통,500g단,1200,1300,1251,-289,"1,540(81.2%)","1,403(89.2%)","1,088(115%)"
2025.05.12,시금치,시금치,하,500g단,1100,1200,1149,-149,"1,298(88.5%)","1,215(94.6%)",908(126.5%)
2025.05.12,시금치,시금치 포항초,특,500g단,2700,2700,2700,"""""","2,700(100%)","2,700(100%)",0
2025.05.12,시금치,시금치 포항초,상,500g단,1750,2700,2301,"""""","2,301(100%)","2,301(100%)",0
2025.05.12,시금치,시금치 포항초,보통,500g단,1500,1750,1606,"""""","1,606(100%)","1,606(100%)",0
2025.05.12,시금치,시금치 포항초,하,500g단,1350,1500,1363,"""""","1,363(100%)","1,363(100%)",0
2025.05.12,상추,상추,상,4kg상자,15800,19900,17142,"-3,770","20,912(82%)","20,355(84.2%)","17,201(99.7%)"
2025.05.12,상추,상추,보통,4kg상자,13000,15800,14371,"-3,179","17,550(81.9%)","16,946(84.8%)","14,125(101.7%)"
2025.05.12,상추,상추,하,4kg상자,4200,13000,9883,"-1,268","11,151(88.6%)","10,546(93.7%)","5,703(173.3%)"
2025.05.12,상추,적상추,상,4kg상자,17500,19500,18391,"-4,850","23,241(79.1%)","20,101(91.5%)","16,563(111%)"
2025.05.12,상추,적상추,보통,4kg상자,15500,17500,16492,"-4,154","20,646(79.9%)","18,204(90.6%)","15,187(108.6%)"
2025.05.12,상추,적상추,하,4kg상자,8100,15500,13318,"-5,650","18,968(70.2%)","16,244(82%)","12,476(106.7%)"
2025.05.12,상추,청상추,상,4kg상자,14300,18000,15527,"-1,413","16,940(91.7%)","19,236(80.7%)","17,315(89.7%)"
2025.05.12,상추,청상추,보통,4kg상자,11300,14300,12908,"-1,391","14,299(90.3%)","15,970(80.8%)","15,069(85.7%)"
2025.05.12,상추,청상추,하,4kg상자,4400,11300,8943,"-1,702","10,645(84%)","12,084(74%)","10,873(82.2%)"
2025.05.12,상추,상추 적포기,상,4kg상자,10200,11800,11025,"1,010","10,015(110.1%)","10,035(109.9%)","5,176(213%)"
2025.05.12,상추,상추 적포기,보통,4kg상자,8900,10200,9461,164,"9,297(101.8%)","8,781(107.7%)","3,588(263.7%)"
2025.05.12,상추,상추 적포기,하,4kg상자,5500,8900,7874,189,"7,685(102.5%)","6,822(115.4%)","1,786(440.9%)"
2025.05.12,상추,상추 포기찹,상,4kg상자,16300,19600,17394,"-3,627","21,021(82.7%)","20,711(84%)","18,112(96%)"
2025.05.12,상추,상추 포기찹,보통,4kg상자,14100,16300,15118,"-3,435","18,553(81.5%)","18,072(83.7%)","14,948(101.1%)"
2025.05.12,상추,상추 포기찹,하,4kg상자,4700,14100,12437,"-3,093","15,530(80.1%)","14,790(84.1%)","11,681(106.5%)"
2025.05.12,상추,쫑상추,상,4kg상자,11300,13500,12260,"-4,919","17,179(71.4%)","11,736(104.5%)","11,093(110.5%)"
2025.05.12,상추,쫑상추,보통,4kg상자,7100,11300,8472,"-5,419","13,891(61%)","8,968(94.5%)","7,048(120.2%)"
2025.05.12,상추,쫑상추,하,4kg상자,4500,7100,6245,"-2,503","8,748(71.4%)","6,086(102.6%)","3,607(173.1%)"
2025.05.12,깻잎,깻잎,상,100속,25000,35000,27289,"-2,932","30,221(90.3%)","30,405(89.8%)","21,015(129.9%)"
2025.05.12,깻잎,깻잎,보통,100속,22000,25000,23552,"-3,777","27,329(86.2%)","22,660(103.9%)","17,217(136.8%)"
2025.05.12,깻잎,깻잎,하,100속,8500,22000,19147,"-2,980","22,127(86.5%)","18,074(105.9%)","13,040(146.8%)"
2025.05.12,깻잎,깻잎순,상,4kg상자,24000,29500,25677,"-7,449","33,126(77.5%)","28,605(89.8%)","20,572(124.8%)"
2025.05.12,깻잎,깻잎순,보통,4kg상자,16500,24000,20895,"-6,517","27,412(76.2%)","21,936(95.3%)","14,808(141.1%)"
2025.05.12,깻잎,깻잎순,하,4kg상자,4500,16500,13811,"-4,179","17,990(76.8%)","13,919(99.2%)","8,795(157%)"
2025.05.12,부추,부추(일반),상,500g단,1850,2650,2126,245,"1,881(113%)","2,151(98.8%)","1,340(158.7%)"
2025.05.12,부추,부추(일반),보통,500g단,1500,1850,1689,264,"1,425(118.5%)","1,653(102.2%)","1,157(146%)"
2025.05.12,부추,부추(일반),하,500g단,600,1500,1284,360,924(139%),"1,122(114.4%)",932(137.8%)
2025.05.12,부추,영양부추,상,200g단,800,950,882,143,739(119.4%),754(117%),971(90.8%)
2025.05.12,부추,영양부추,보통,200g단,700,800,770,71,699(110.2%),672(114.6%),852(90.4%)
2025.05.12,부추,영양부추,하,200g단,600,700,671,29,642(104.5%),596(112.6%),715(93.8%)
2025.05.12,갓,돌산갓,특,8kg상자,9400,9400,9400,"1,400","8,000(117.5%)","10,917(86.1%)","13,268(70.8%)"
2025.05.12,갓,돌산갓,상,8kg상자,6300,9400,6906,"2,086","4,820(143.3%)","8,448(81.7%)","11,030(62.6%)"
2025.05.12,갓,돌산갓,보통,8kg상자,4250,6300,5427,"1,410","4,017(135.1%)","6,447(84.2%)","8,821(61.5%)"
2025.05.12,갓,돌산갓,하,8kg상자,4050,4250,4179,494,"3,685(113.4%)","5,602(74.6%)","7,876(53.1%)"
2025.05.12,쑥갓,쑥갓,상,4kg상자,9800,14000,10780,201,"10,579(101.9%)","8,929(120.7%)","8,682(124.2%)"
2025.05.12,쑥갓,쑥갓,보통,4kg상자,8300,9800,8988,491,"8,497(105.8%)","6,930(129.7%)","6,765(132.9%)"
2025.05.12,쑥갓,쑥갓,하,4kg상자,5900,8300,7405,63,"7,342(100.9%)","5,543(133.6%)","5,062(146.3%)"
2025.05.12,미나리,미나리,상,4kg,9500,33500,13411,"2,844","10,567(126.9%)","11,861(113.1%)","16,383(81.9%)"
2025.05.12,미나리,미나리,보통,4kg,8000,9500,8565,"1,025","7,540(113.6%)","7,584(112.9%)","12,968(66%)"
2025.05.12,미나리,미나리,하,4kg,4500,8000,7165,"1,774","5,391(132.9%)","5,770(124.2%)","7,126(100.5%)"
2025.05.12,미나리,미나리(일반),상,8kg,32000,48000,34118,"3,024","31,094(109.7%)","33,846(100.8%)","48,146(70.9%)"
2025.05.12,미나리,미나리(일반),보통,8kg,30000,32000,30837,"4,725","26,112(118.1%)","28,336(108.8%)","42,386(72.8%)"
2025.05.12,미나리,미나리(일반),하,8kg,16000,30000,24118,"4,196","19,922(121.1%)","20,773(116.1%)","34,553(69.8%)"
2025.05.12,미나리,돌미나리,상,4kg상자,9500,31000,11445,"1,814","9,631(118.8%)","10,260(111.5%)","16,187(70.7%)"
2025.05.12,미나리,돌미나리,보통,4kg상자,8000,9500,8545,"1,029","7,516(113.7%)","7,526(113.5%)","12,917(66.2%)"
