DATE,intake,avg_price
2024-08-08,19,21142
2024-08-07,18,20607
2024-08-06,24,16241
2024-08-05,26,17693
2024-08-02,21,17511
2024-08-01,20,17568
2024-07-31,21,14541
2024-07-30,28,13945
2024-07-29,25,16032
2024-07-28,0,0
2024-07-27,15,17435
2024-07-26,24,13723
2024-07-25,28,13672
2024-07-24,19,16541
2024-07-23,24,15353
2024-07-22,25,14502
2024-07-21,0,0
2024-07-20,18,14044
2024-07-19,16,16819
2024-07-18,16,12861
2024-07-17,18,12618
2024-07-16,27,10729
2024-07-15,25,11089
2024-07-14,0,0
2024-07-13,21,12781
2024-07-12,22,12781
2024-07-11,14,14337
2024-07-10,25,11290
2024-07-09,15,13152
2024-07-08,22,10549
2024-07-06,18,10618
2024-07-05,32,9734
2024-07-04,17,11340
2024-07-03,28,10805
2024-07-02,23,10761
2024-07-01,19,11279
2024-06-30,0,0
2024-06-29,19,10264
2024-06-28,18,9291
2024-06-27,23,7830
2024-06-26,24,7484
2024-06-25,20,8518
2024-06-24,20,7964
2024-06-23,0,0
2024-06-22,15,8522
2024-06-21,16,7672
2024-06-20,26,6674
2024-06-19,22,7114
2024-06-18,25,6850
2024-06-17,19,7847
2024-06-16,0,0
2024-06-15,21,6474
2024-06-14,15,9012
2024-06-13,17,8767
2024-06-12,16,8389
2024-06-11,26,6678
2024-06-10,18,7842
2024-06-08,13,7797
2024-06-07,15,7950
2024-06-06,15,7283
2024-06-05,20,6953
2024-06-04,24,7079
2024-06-03,20,7657
2024-06-01,15,7364
2024-05-31,22,7501
2024-05-30,16,7886
2024-05-29,15,9003
2024-05-28,17,7707
2024-05-27,23,7765
2024-05-26,0,0
2024-05-25,16,7273
2024-05-24,16,8196
2024-05-23,21,7313
2024-05-22,19,7452
2024-05-21,24,8136
2024-05-20,33,12192
2024-05-19,0,0
2024-05-18,14,14005
2024-05-17,21,13995
2024-05-16,20,13990
2024-05-15,22,15200
2024-05-14,22,16213
2024-05-13,22,16625
2024-05-12,0,0
2024-05-11,10,17126
2024-05-10,16,17598
2024-05-09,20,14890
2024-05-08,17,14393
2024-05-07,21,14435
2024-05-06,21,16775
2024-05-04,17,18009
2024-05-03,20,19042
2024-05-02,16,19419
2024-05-01,15,17952
2024-04-30,19,17609
2024-04-29,20,17506
2024-04-28,0,0
2024-04-27,15,17314
2024-04-26,18,16657
2024-04-25,21,17380
2024-04-24,18,17273
2024-04-23,18,19166
2024-04-22,16,18953
2024-04-21,0,0
2024-04-20,14,17619
2024-04-19,18,17557
2024-04-18,15,19726
2024-04-17,18,19247
2024-04-16,20,19829
2024-04-15,20,21255
2024-04-14,0,0
2024-04-13,12,20036
2024-04-12,16,18056
2024-04-11,17,18034
2024-04-10,18,17625
2024-04-09,17,17798
2024-04-08,16,17535
2024-04-06,13,15818
2024-04-05,17,15620
2024-04-04,17,14710
2024-04-03,17,15883
2024-04-02,19,14771
2024-04-01,20,14863
2024-03-31,0,0
2024-03-30,11,14390
2024-03-29,14,13848
2024-03-28,17,13785
2024-03-27,18,13735
2024-03-26,19,13117
2024-03-25,21,13442
2024-03-24,0,0
2024-03-23,14,13029
2024-03-22,19,13158
2024-03-21,19,13119
2024-03-20,18,13027
2024-03-19,19,12780
2024-03-18,17,13308
2024-03-17,0,0
2024-03-16,13,13493
2024-03-15,14,13187
2024-03-14,19,12442
2024-03-13,13,13020
2024-03-12,16,11850
2024-03-11,21,11754
2024-03-09,13,11862
2024-03-08,18,11753
2024-03-07,12,12623
2024-03-06,16,12081
2024-03-05,17,11962
2024-03-04,19,11963
2024-03-02,0,11785
2024-03-01,15,11785
2024-02-29,18,10415
2024-02-28,17,10668
2024-02-27,16,10931
2024-02-26,14,10976
2024-02-25,0,0
2024-02-24,9,11500
2024-02-23,10,10877
2024-02-22,13,10536
2024-02-21,13,10233
2024-02-20,15,10466
2024-02-19,19,10776
2024-02-18,0,0
2024-02-17,8,9683
2024-02-16,16,10131
2024-02-15,13,11144
2024-02-14,11,10581
2024-02-13,8,10798
2024-02-12,0,0
2024-02-11,0,0
2024-02-09,4,5338
2024-02-08,17,8131
2024-02-07,18,9021
2024-02-06,17,9878
2024-02-05,22,8693
2024-02-03,19,7820
2024-02-02,20,7424
2024-02-01,22,7306
2024-01-31,20,7659
2024-01-30,16,7955
2024-01-29,20,7568
2024-01-28,0,0
2024-01-27,10,8338
2024-01-26,13,7854
2024-01-25,7,7894
2024-01-24,11,6332
2024-01-23,21,7140
2024-01-22,19,7972
2024-01-21,0,0
2024-01-20,10,8520
2024-01-19,10,8215
2024-01-18,11,6922
2024-01-17,12,5789
2024-01-16,13,5538
2024-01-15,18,5790
2024-01-14,0,0
2024-01-13,12,5826
2024-01-12,12,6263
2024-01-11,19,5766
2024-01-10,12,6659
2024-01-09,11,6800
2024-01-08,11,6899
2024-01-06,15,5486
2024-01-05,19,6323
2024-01-04,20,6463
2024-01-03,20,6962
2024-01-01,0,0
2023-12-31,0,0
2023-12-30,19,6311
2023-12-29,15,7062
2023-12-28,21,6034
2023-12-27,13,7040
2023-12-26,13,6667
2023-12-25,17,7357
2023-12-24,0,0
2023-12-23,6,7805
2023-12-22,14,6982
2023-12-21,18,7353
2023-12-20,6,8800
2023-12-19,13,6209
2023-12-18,17,7769
2023-12-17,0,0
2023-12-16,5,9211
2023-12-15,16,6686
2023-12-14,10,7415
2023-12-13,17,5749
2023-12-12,13,7676
2023-12-11,13,7459
2023-12-09,22,6008
2023-12-08,26,6243
2023-12-07,27,6588
2023-12-06,26,8363
2023-12-05,33,7714
2023-12-04,42,7500
2023-12-02,1,8521
2023-12-01,37,8521
2023-11-30,36,7093
2023-11-29,28,6341
2023-11-28,28,7222
2023-11-27,37,7879
2023-11-26,0,0
2023-11-25,58,6729
2023-11-24,71,8404
2023-11-23,65,8616
2023-11-22,51,7499
2023-11-21,60,6682
2023-11-20,67,7644
2023-11-19,0,0
2023-11-18,50,10671
2023-11-17,48,10119
2023-11-16,46,8111
2023-11-15,42,7516
2023-11-14,44,6811
2023-11-13,53,6327
2023-11-12,0,0
2023-11-11,49,7512
2023-11-10,52,8165
2023-11-09,49,6793
2023-11-08,52,6785
2023-11-07,26,8629
2023-11-06,37,8129
2023-11-04,0,8612
2023-11-03,34,8612
2023-11-02,18,10289
2023-11-01,26,8359
2023-10-31,25,9020
2023-10-30,26,9847
2023-10-29,0,0
2023-10-28,28,9360
2023-10-27,27,9850
2023-10-26,29,11413
2023-10-25,29,11440
