DATE,unit,rate,avg_price
2025-02-14,10,상,14342 
2025-02-14,10,중,13137 
2025-02-14,10,하,11437 
2025-02-13,10,특,17780 
2025-02-13,10,상,15440 
2025-02-13,10,중,13747 
2025-02-13,10,하,11331 
2025-02-12,10,특,0 
2025-02-12,10,상,0 
2025-02-12,10,중,0 
2025-02-12,10,하,0 
2025-02-11,10,특,17185 
2025-02-11,10,상,15132 
2025-02-11,10,중,13347 
2025-02-11,10,하,10858 
2025-02-10,10,특,16971 
2025-02-10,10,상,15136 
2025-02-10,10,중,12922 
2025-02-10,10,하,9848 
2025-02-08,10,특,16839 
2025-02-08,10,상,14577 
2025-02-08,10,중,12729 
2025-02-08,10,하,11049 
2025-02-07,10,특,17282 
2025-02-07,10,상,14980 
2025-02-07,10,중,12880 
2025-02-07,10,하,10215 
2025-02-06,10,특,16639 
2025-02-06,10,상,13938 
2025-02-06,10,중,12241 
2025-02-06,10,하,10419 
2025-02-05,10,특,15216 
2025-02-05,10,상,13944 
2025-02-05,10,중,12522 
2025-02-05,10,하,9835 
2025-02-04,10,특,17050 
2025-02-04,10,상,15041 
2025-02-04,10,중,13082 
2025-02-04,10,하,9812 
2025-02-03,10,특,17432 
2025-02-03,10,상,15437 
2025-02-03,10,중,14064 
2025-02-03,10,하,10389 
2025-02-01,10,특,16800 
2025-02-01,10,상,15951 
2025-02-01,10,중,14461 
2025-02-01,10,하,10289 
2025-01-31,10,특,0 
2025-01-31,10,상,0 
2025-01-31,10,중,0 
2025-01-31,10,하,0 
2025-01-30,10,특,0 
2025-01-30,10,상,0 
2025-01-30,10,중,0 
2025-01-30,10,하,0 
2025-01-29,10,특,0 
2025-01-29,10,상,0 
2025-01-29,10,중,0 
2025-01-29,10,하,0 
2025-01-28,10,특,15522 
2025-01-28,10,상,12634 
2025-01-28,10,중,10469 
2025-01-28,10,하,9060 
2025-01-27,10,특,16441 
2025-01-27,10,상,14861 
2025-01-27,10,중,12320 
2025-01-27,10,하,8247 
2025-01-26,10,특,0 
2025-01-26,10,상,0 
2025-01-26,10,중,0 
2025-01-26,10,하,0 
2025-01-25,10,특,15881 
2025-01-25,10,상,13630 
2025-01-25,10,중,10287 
2025-01-25,10,하,7834 
2025-01-24,10,특,15867 
2025-01-24,10,상,13200 
2025-01-24,10,중,10157 
2025-01-24,10,하,6897 
2025-01-23,10,특,15486 
2025-01-23,10,상,12568 
